"Name","Grupo","Estado","Prioridad","Horas","Tarifa hora EUR","Coste EUR","Recurso","ID Tarea","Tipo","Descripcion","Proyecto"
"[HITO] MINERVA - Justificante de Asistencia (207 h)","Proyecto","Pending","Alta","0","","","","JA-00","Hito","RF MINERVA Justificante v.2.1 | Delegacion HM BE-17 | Babooni Technologies | 3 semanas + Sprint 0 | 1 BE + 1 FE","MINERVA Justificante Asistencia"
"[Sprint 0] Prerequisitos tecnicos Vitaly","Sprint 0 - Prerequisitos","Pending","Alta","0","","","","JA-S0","Hito","Checklist antes de arrancar. RF v.2: sin persistencia ni log.","MINERVA Justificante Asistencia"
"Respuestas equipo tecnico Vitaly recibidas (RF v.2)","Sprint 0 - Prerequisitos","Pending","Alta","0","","","","JA-S0-01","Checklist","Parcial 11/06: APIs OK query PDF hora fin contactos i18n. Pendiente CA-10 auth W2W hora entrada fr/de","MINERVA Justificante Asistencia"
"Reutilizacion servicio justificante actual confirmada","Sprint 0 - Prerequisitos","Pending","Alta","0","","","","JA-S0-02","Checklist","Arquitectura delegacion HM: motor PDF unico planificacion-backend","MINERVA Justificante Asistencia"
"Circuito Mail/SMS consentimiento validado","Sprint 0 - Prerequisitos","Pending","Alta","0","","","","JA-S0-03","Checklist","Confirmar reutilizacion circuito comunicaciones","MINERVA Justificante Asistencia"
"RF v.2 acordado sin persistencia ni log","Sprint 0 - Prerequisitos","Pending","Alta","0","","","","JA-S0-04","Checklist","Alcance v.2: generacion en caliente solo Examen de Salud","MINERVA Justificante Asistencia"
"Repos FE BE y legacy accesibles","Sprint 0 - Prerequisitos","Pending","Alta","0","","","","JA-S0-05","Checklist","planificacion-backend vit-vs-planificacion-front eanaliticas","MINERVA Justificante Asistencia"
"Entorno DEMO con citas Examen de Salud","Sprint 0 - Prerequisitos","Pending","Alta","0","","","","JA-S0-06","Checklist","DEMO operativo para desarrollo y pruebas CA-10","MINERVA Justificante Asistencia"
"[BE-01] Analisis tecnico y contratos API","Sprint 1 - Desarrollo E2E","Pending","Alta","8","","","BE","BE-01","Diseno","Analisis diseno contratos API Minerva endpoint PDF HM delegacion eanaliticas filtro Examen de Salud","MINERVA Justificante Asistencia"
"[BE-03] API precarga horas","Sprint 1 - Desarrollo E2E","Pending","Alta","6","","","BE","BE-03","API","API precarga horas admision cierre medico/enfermeria hora mas tardia CA-03","MINERVA Justificante Asistencia"
"[BE-04] Motor PDF unico Thymeleaf","Sprint 1 - Desarrollo E2E","Pending","Critica","18","","","BE","BE-04","Critico","Plantilla multiidioma portacion logica horas/datos legacy endpoint reutilizable HM CA-05/12","MINERVA Justificante Asistencia"
"[BE-17] Adaptador Historial Medico delegacion","Sprint 1 - Desarrollo E2E","Pending","Critica","16","","","BE","BE-17","Critico","eanaliticas delega PDF a planificacion-backend auth W2W regresion mail JSP CA-11","MINERVA Justificante Asistencia"
"[BE-06] API generar/enviar en caliente","Sprint 1 - Desarrollo E2E","Pending","Alta","8","","","BE","BE-06","API","API generar y enviar justificante en caliente validaciones horas sin persistencia","MINERVA Justificante Asistencia"
"[BE-15] MR + despliegue DEMO (Sprint 1)","Sprint 1 - Desarrollo E2E","Pending","Media","3","","","BE","BE-15","Deploy","Creacion MR + despliegue DEMO verificacion cierre sprint 1","MINERVA Justificante Asistencia"
"[FE-01] Analisis tecnico y plan componentes","Sprint 1 - Desarrollo E2E","Pending","Alta","7","","","FE","FE-01","Diseno","Analisis RF v.2 plan componentes modal admision antes de boton admision","MINERVA Justificante Asistencia"
"[FE-02] Bloque justificante modal admision","Sprint 1 - Desarrollo E2E","Pending","Alta","10","","","FE","FE-02","UI","Bloque antes boton admision visible solo Examen de Salud CA-01 CA-10","MINERVA Justificante Asistencia"
"[FE-03] Campos hora entrada y hora fin","Sprint 1 - Desarrollo E2E","Pending","Alta","8","","","FE","FE-03","UI","Precarga automatica y edicion manual CA-02/03/04/05","MINERVA Justificante Asistencia"
"[FE-04] Selector canal y validaciones contacto","Sprint 1 - Desarrollo E2E","Pending","Alta","6","","","FE","FE-04","Validacion","Selector Mail/SMS/Papel y validaciones contacto bloqueantes CA-07/08","MINERVA Justificante Asistencia"
"[FE-11] MR + despliegue DEMO (Sprint 1)","Sprint 1 - Desarrollo E2E","Pending","Media","3","","","FE","FE-11","Deploy","Creacion MR + despliegue DEMO verificacion cierre sprint 1","MINERVA Justificante Asistencia"
"[BE-07] Integracion Mail","Sprint 1 - Desarrollo E2E","Pending","Alta","10","","","BE","BE-07","Comms","Integracion Mail reutilizar circuito consentimiento adjunto PDF caliente CA-07","MINERVA Justificante Asistencia"
"[BE-08] Integracion SMS enlace temporal","Sprint 1 - Desarrollo E2E","Pending","Critica","10","","","BE","BE-08","Critico","SMS enlace descarga temporal token caducidad sin persistencia CA-08","MINERVA Justificante Asistencia"
"[BE-10] Validaciones y seguridad","Sprint 1 - Desarrollo E2E","Pending","Alta","5","","","BE","BE-10","Seguridad","Validaciones negocio enlaces SMS temporales CA-12","MINERVA Justificante Asistencia"
"[FE-05] Flujo Enviar justificante","Sprint 1 - Desarrollo E2E","Pending","Critica","10","","","FE","FE-05","Critico","Flujo Enviar justificante estados carga error exito CA-06/07/08/09","MINERVA Justificante Asistencia"
"[FE-07] Validaciones UX RF 7.3","Sprint 1 - Desarrollo E2E","Pending","Alta","6","","","FE","FE-07","Validacion","Validaciones HH:MM hora fin >= entrada mensajes bloqueantes","MINERVA Justificante Asistencia"
"[BE-11] Pruebas unitarias e integracion","Semana 3 - Cierre y PRO","Pending","Alta","7","","","BE","BE-11","Testing","Tests PDF comunicaciones validaciones horas","MINERVA Justificante Asistencia"
"[BE-12] Soporte plan de pruebas y defectos","Semana 3 - Cierre y PRO","Pending","Alta","5","","","BE","BE-12","QA","Soporte plan pruebas CA-01..CA-13 backend y correccion defectos","MINERVA Justificante Asistencia"
