"Name","Grupo","Estado","Prioridad","Horas","Tarifa hora EUR","Coste EUR","Recurso","ID Tarea","Tipo","Descripcion","Proyecto"
"[HITO] MINERVA - Cambio de Puesto (312 h)","Proyecto","Pending","Alta","0","","","","CP-00","Hito","RF MINERVA Cambio de puesto v.6 | Babooni Technologies | 2 sprints + cierre 5 sem | 1 BE + 1 FE","MINERVA Cambio Puesto"
"[Sprint 0] Prerequisitos tecnicos","Sprint 0 - Prerequisitos","Pending","Alta","0","","","","CP-S0","Hito","Checklist antes de arrancar. Negocio cerrado 10/06/2026. Pendiente P1 dry-run y group IDs JWT.","MINERVA Cambio Puesto"
"Informacion equipo tecnico entregada","Sprint 0 - Prerequisitos","Pending","Alta","0","","","","CP-S0-01","Checklist","Documento de dudas respondido por equipo tecnico Vitaly","MINERVA Cambio Puesto"
"Repos FE y BE accesibles","Sprint 0 - Prerequisitos","Pending","Alta","0","","","","CP-S0-02","Checklist","Acceso a repositorios rrmm-backend puestos-back rrmm-frontend","MINERVA Cambio Puesto"
"Escenarios relacion laboral v.6 validados","Sprint 0 - Prerequisitos","Pending","Alta","0","","","","CP-S0-03","Checklist","7 escenarios de RL validados con negocio","MINERVA Cambio Puesto"
"Logica recalculo equivalente a creacion confirmada","Sprint 0 - Prerequisitos","Pending","Alta","0","","","","CP-S0-04","Checklist","Confirmada logica de recalculo con ACP incluida","MINERVA Cambio Puesto"
"Motor calculo protocolos dry-run confirmado","Sprint 0 - Prerequisitos","Pending","Alta","0","","","","CP-S0-05","Checklist","Confirmado motor de calculo de protocolos en modo dry-run","MINERVA Cambio Puesto"
"Entorno DEMO con datos representativos","Sprint 0 - Prerequisitos","Pending","Alta","0","","","","CP-S0-06","Checklist","DEMO operativo con datos de prueba","MINERVA Cambio Puesto"
"Pipeline CI/CD documentado y operativo","Sprint 0 - Prerequisitos","Pending","Alta","0","","","","CP-S0-07","Checklist","Pipeline CI/CD accesible y documentado","MINERVA Cambio Puesto"
"[BE-01] Analisis tecnico y contratos API","Sprint 1 - Fundacion","Pending","Alta","10","","","BE","BE-01","Diseno","Analisis diseno contratos API validado en repos integracion rrmm puestos-back","MINERVA Cambio Puesto"
"[BE-02] Endpoint busqueda clientes","Sprint 1 - Fundacion","Pending","Alta","3","","","BE","BE-02","API","PC_CLIENTES >=3 chars nombre/CIF paginado","MINERVA Cambio Puesto"
"[BE-03] Endpoint listado centros cliente","Sprint 1 - Fundacion","Pending","Alta","3","","","BE","BE-03","API","PC_CENTROS filtros nombre/provincia/localidad","MINERVA Cambio Puesto"
"[BE-04] Endpoint busqueda puestos principales","Sprint 1 - Fundacion","Pending","Alta","6","","","BE","BE-04","API","Proxy BFF GET /puestos/listadoPuestos puestos-back","MINERVA Cambio Puesto"
"[BE-05] Endpoint busqueda y alta puestos adicionales","Sprint 1 - Fundacion","Pending","Alta","3","","","BE","BE-05","API","Lectura getPuestosAdicionalesByRmId + escritura INF_RM_PTOS_ADICIONALES","MINERVA Cambio Puesto"
"[BE-20] MR + despliegue DEMO (Sprint 1)","Sprint 1 - Fundacion","Pending","Media","3","","","BE","BE-20","Deploy","Creacion MR + despliegue DEMO verificacion cierre sprint 1","MINERVA Cambio Puesto"
"[FE-01] Analisis tecnico y plan componentes","Sprint 1 - Fundacion","Pending","Alta","10","","","FE","FE-01","Diseno","Revision mockups/simulacion v.6 Figma + warning analitica plan componentes","MINERVA Cambio Puesto"
"[FE-02] Icono y accion cambiar puesto","Sprint 1 - Fundacion","Pending","Alta","4","","","FE","FE-02","UI","Visibilidad por estado Pendiente y permiso ACL CAMBIAR_PUESTO_RM","MINERVA Cambio Puesto"
"[FE-03] Esqueleto del modal","Sprint 1 - Fundacion","Pending","Alta","8","","","FE","FE-03","UI","Cabecera nombre persona footer Cancelar/Continuar NgbModal","MINERVA Cambio Puesto"
"[FE-04] Buscador cliente autocompletado","Sprint 1 - Fundacion","Pending","Alta","6","","","FE","FE-04","Componente","NgbTypeahead >=3 chars CIF debounce patron modal-medicos-enfermeros","MINERVA Cambio Puesto"
"[FE-05] Tabla de centros","Sprint 1 - Fundacion","Pending","Alta","5","","","FE","FE-05","Componente","Busqueda nombre/provincia/localidad y seleccion","MINERVA Cambio Puesto"
"[FE-06] Bloque puesto principal","Sprint 1 - Fundacion","Pending","Critica","12","","","FE","FE-06","Critico","Tabla cod/nombre/personas-centro/personas-cliente radiobutton busqueda","MINERVA Cambio Puesto"
"[FE-18] MR + despliegue DEMO (Sprint 1)","Sprint 1 - Fundacion","Pending","Media","3","","","FE","FE-18","Deploy","Creacion MR + despliegue DEMO verificacion cierre sprint 1","MINERVA Cambio Puesto"
"[BE-06] Servicio calculo de impacto (dry-run)","Sprint 2 - Flujo E2E","Pending","Critica","23","","","BE","BE-06","Critico","Motor P1 + deltas vs RM actual ACP periodicidad/fecha recomendada","MINERVA Cambio Puesto"
"[BE-07] Endpoint aplicar cambio","Sprint 2 - Flujo E2E","Pending","Critica","19","","","BE","BE-07","Critico","PUT transaccional UPDATE INF_RM + llamada puestos-back","MINERVA Cambio Puesto"
"[BE-08] Integracion Relacion Laboral","Sprint 2 - Flujo E2E","Pending","Critica","15","","","BE","BE-08","Critico","Orquestacion RL 7 escenarios v.6 wrapper POST cambiar-puesto","MINERVA Cambio Puesto"
"[BE-09] Logs especificos del cambio CA-17","Sprint 2 - Flujo E2E","Pending","Alta","4","","","BE","BE-09","Trazabilidad","INSERT INF4_RM_LOG_CAMBIO_PUESTO + GET logs/cambio-puesto","MINERVA Cambio Puesto"
"[BE-10] Validaciones estado y concurrencia","Sprint 2 - Flujo E2E","Pending","Alta","4","","","BE","BE-10","Validacion","ACL permiso editar puestos estado Pendiente concurrencia","MINERVA Cambio Puesto"
"[BE-11] Avisos laboratorio y warnings analitica","Sprint 2 - Flujo E2E","Pending","Alta","5","","","BE","BE-11","Integracion","CA-15 laboratorio comunicado + warnings CU-11 post-cambio","MINERVA Cambio Puesto"
"[BE-12] Garantia no borrar pruebas CA-14","Sprint 2 - Flujo E2E","Pending","Alta","6","","","BE","BE-12","Seguridad","Pruebas y resultados ya realizados no se eliminan","MINERVA Cambio Puesto"
"[BE-13] Regresion Historial Medico CA-16","Sprint 2 - Flujo E2E","Pending","Alta","4","","","BE","BE-13","Regresion","Flujo legacy cambiarRl.do/cambiarRm.do sin cambios","MINERVA Cambio Puesto"
"[FE-07] Bloque puestos adicionales","Sprint 2 - Flujo E2E","Pending","Alta","6","","","FE","FE-07","Componente","Chips eliminables tabla checkbox multiple accion anadir","MINERVA Cambio Puesto"
"[FE-08] Validaciones y mensajes modal 7.2","Sprint 2 - Flujo E2E","Pending","Alta","8","","","FE","FE-08","Validacion","Estados validaciones y mensajes todas las situaciones RF 7.2","MINERVA Cambio Puesto"
"[FE-09] Ventana resumen de impacto (deltas)","Sprint 2 - Flujo E2E","Pending","Critica","16","","","FE","FE-09","Critico","Solo bloques con cambios nota pruebas cumplimentadas anadidos/eliminados","MINERVA Cambio Puesto"
"[FE-10] Refresh resumen y Resultados","Sprint 2 - Flujo E2E","Pending","Alta","8","","","FE","FE-10","Integracion","ResultadosService periodicidad/fecha estado optimista/error","MINERVA Cambio Puesto"
"[FE-11] Avisos UX CA-15 y warnings CU-11","Sprint 2 - Flujo E2E","Pending","Alta","7","","","FE","FE-11","UX","Avisos laboratorio comunicado bloqueos 7.7 warnings duales Resumen + Comunicar lab","MINERVA Cambio Puesto"
"[FE-12] Flujo alternativo 6.2","Sprint 2 - Flujo E2E","Pending","Alta","6","","","FE","FE-12","Flujo","Actualizar protocolos sin cambio de puesto reutilizando resumen","MINERVA Cambio Puesto"
"[BE-14] Pruebas unitarias e integracion","Cierre - Calidad y PRO","Pending","Alta","10","","","BE","BE-14","Testing","Impacto deltas RL periodicidad warnings cross-repo","MINERVA Cambio Puesto"
"[BE-15] Soporte plan de pruebas y defectos","Cierre - Calidad y PRO","Pending","Alta","8","","","BE","BE-15","QA","Soporte plan pruebas CA-01..CA-17 backend correccion defectos","MINERVA Cambio Puesto"
"[BE-16] Jacoco cobertura","Cierre - Calidad y PRO","Pending","Alta","2","","","BE","BE-16","Calidad","Reporte Jacoco codigo nuevo ya configurado build.gradle","MINERVA Cambio Puesto"
"[BE-17] Pitest mutation testing","Cierre - Calidad y PRO","Pending","Alta","4","","","BE","BE-17","Calidad","Pitest servicios nuevos ya configurado build.gradle","MINERVA Cambio Puesto"
"[BE-18] Documentacion tecnica y handover","Cierre - Calidad y PRO","Pending","Baja","4","","","BE","BE-18","Doc","Documentacion servicios contratos configuracion","MINERVA Cambio Puesto"
"[BE-22] Plan de accion a Produccion (BE)","Cierre - Calidad y PRO","Pending","Critica","12","","","BE","BE-22","Critico","Plan accion PRO parte BE pasos ventana rollback despliegue PRO","MINERVA Cambio Puesto"
"[BE] Coordinacion refinamientos demos UAT","Cierre - Calidad y PRO","Pending","Media","12","","","BE","BE-COORD","Coordinacion","Coordinacion refinamientos demos UAT backend 12 h transversales","MINERVA Cambio Puesto"
"[FE-13] Accesibilidad i18n responsive E2E","Cierre - Calidad y PRO","Pending","Alta","8","","","FE","FE-13","Calidad","Accesibilidad i18n responsive pruebas E2E flujo completo","MINERVA Cambio Puesto"
"[FE-14] Soporte plan de pruebas y defectos","Cierre - Calidad y PRO","Pending","Alta","6","","","FE","FE-14","QA","Soporte plan pruebas CA-01..CA-17 frontend correccion defectos","MINERVA Cambio Puesto"
"[FE-15] Tests Karma + Jasmine","Cierre - Calidad y PRO","Pending","Alta","11","","","FE","FE-15","Testing","Arranque suite tests modal resumen validaciones autocompletado","MINERVA Cambio Puesto"
"[FE-16] Pulido final pre-PRO","Cierre - Calidad y PRO","Pending","Media","4","","","FE","FE-16","UX","Pulido final revision detalles antes pase a PRO","MINERVA Cambio Puesto"
"[FE-20] Plan de accion a Produccion (FE)","Cierre - Calidad y PRO","Pending","Critica","12","","","FE","FE-20","Critico","Plan accion PRO parte FE pasos ventana rollback despliegue PRO","MINERVA Cambio Puesto"
"[FE] Coordinacion refinamientos demos UAT","Cierre - Calidad y PRO","Pending","Media","12","","","FE","FE-COORD","Coordinacion","Coordinacion refinamientos demos UAT frontend 12 h transversales","MINERVA Cambio Puesto"
