Tipo fila;Hito;Elemento;Codigo;Descripcion de la prueba;Estado;Fecha fin;Fecha negocio;Observaciones
HITO;SPRINT 1;Base tecnica accesos externos i18n solo desarrollo;;;Tecnologia - Pendiente;;;
CABECERA;SPRINT 1;TR-1;ADR accesos externos y contrato API Informes CSV;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 1;TR-1;Babooni;Cierre funcional y tecnico: ADR modelo accesos externos A/B/C y contrato API modulo Informes CSV;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;TR-1;Negocio;CA-17 - Contrato ADR: modelo accesos externos permite pestana Accesos externos en Configuracion Admin (CU-05).;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;TR-1;Negocio;CA-01 - Contrato API Informes: modulo con periodo filtros tabla y boton Descargar segun funcional (CU-01).;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;TR-1;Negocio;CA-09 - Contrato CSV: exportacion en formato .csv con nombre dinamico (CU-02).;Tecnologia - Pendiente;;;
CABECERA;SPRINT 1;FE-0.5;Integracion rama Vitaly fase_II_ux en sprint8 productivo sin MSW;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 1;FE-0.5;Babooni;Merge rama fase_II_ux en sprint8 productivo: eliminar MSW/mocks y alinear con stores y patrones Fase I;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;FE-0.5;Negocio;CA-01 - Tras merge Vitaly el modulo Informes muestra cabecera periodo por defecto y boton Descargar informe (smoke DEMO).;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;FE-0.5;Negocio;CA-17 - Tras merge Vitaly la pestana Accesos externos aparece en Configuracion Admin (smoke DEMO).;Tecnologia - Pendiente;;;
CABECERA;SPRINT 1;BE-0.1;Ampliar roles y permisos Inspector/a y RLPT;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 1;BE-0.1;Babooni;Ampliar sistema de roles/permisos: tipo acceso externo en /v1/me contextos Inspector/RLPT y excepcion sin empresa;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;BE-0.1;Negocio;CA-11 - Dado un Inspector recien autenticado cuando aun no ha entrado en empresa entonces solo ve modulo Empresas y cabecera Sin empresa seleccionada.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;BE-0.1;Negocio;CA-12 - Dado la tabla Empresas del Inspector cuando pulsa Acceder entonces la cabecera muestra el nombre de la empresa y se desbloquean Usuarios Informes y Configuracion en solo lectura.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 1;BE-0.2;Modo solo lectura transversal en backend;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 1;BE-0.2;Babooni;Interceptor/filtro que deniegue mutaciones a roles Inspector y superadmin en simulacion;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;BE-0.2;Negocio;CA-20 - Dado Superadmin en modo simulacion cuando navega ficha y listado entonces Importar/Crear usuarios Guardar datos y Nueva compensacion estan deshabilitados.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 1;BE-0.3;Servicio anonimizacion y disociacion datos personas;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 1;BE-0.3;Babooni;Servicio anonimizacion: difuminar nombre/apellidos ID visible aplicable a vistas y exportaciones CSV;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;BE-0.3;Negocio;CA-13 - Dado Usuarios en perfil Inspector cuando se listan trabajadores entonces columnas ID Persona Centro Fechas Horas y Ojo; sin nombre ni apellidos.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;BE-0.3;Negocio;CA-14 - Dado la ficha via icono Ojo cuando se abre detalle entonces campos en lectura nombre/apellidos difuminados y aviso legal.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 1;FE-0.1;Roles Inspector y RLPT en enrutado guards y menus;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 1;FE-0.1;Babooni;Registrar roles Inspector y RLPT: Rutas guards sidebar rutaInicial y menus Empresas Usuarios Informes Configuracion;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;FE-0.1;Negocio;CA-10 - Dado un Inspector autenticado cuando accede a la aplicacion entonces en sidebar aparece badge amarillo Inspector/a solo lectura Datos anonimizados.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 1;FE-0.2;Patron solo lectura transversal en UI;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 1;FE-0.2;Babooni;Generalizar modoSoloLectura en AppContextService aviso visual Inspector y deshabilitar acciones en componentes;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;FE-0.2;Negocio;CA-20 - Dado Superadmin en modo simulacion cuando navega ficha y listado entonces Importar/Crear usuarios Guardar datos y Nueva compensacion estan deshabilitados.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 1;BE-0.4;Autenticacion accesos externos invitacion y revocacion;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 1;BE-0.4;Babooni;Autenticacion accesos externos: alta sin contrasena invitacion/credencial caducidad y revocacion;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;BE-0.4;Negocio;CA-18 - Dado alta acceso externo cuando se guarda entonces se dispara invitacion/credencial al correo indicado.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;BE-0.4;Negocio;CA-19 - Dado acceso revocado cuando el externo intenta acceder entonces el acceso queda bloqueado de forma inmediata (D06).;Tecnologia - Pendiente;;;
CABECERA;SPRINT 1;BE-0.5;Control acceso multi-empresa para externos;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 1;BE-0.5;Babooni;Vinculo usuario externo a empresa(s) y filtrado por ambito para Inspector multiempresa;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;BE-0.5;Negocio;CA-11 - Dado Inspector multiempresa cuando aun no ha seleccionado empresa entonces solo ve empresas de su ambito autorizado.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;BE-0.5;Negocio;CA-12 - Dado Inspector cuando accede a una empresa de su ambito entonces el contexto queda acotado a esa organizacion.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 1;BE-3.1;CRUD accesos externos alta listado y revocacion;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 1;BE-3.1;Babooni;CRUD accesos externos: alta tipo Inspector/RLPT nombre correo listado y eliminacion con revocacion inmediata;Tecnologia - Pendiente;;;
